,code,name,price,pct_change,pe,pb,market_cap,turnover_rate,tech_score,tech_trend,tech_momentum,tech_volume,fund_score,fund_valuation,fund_profit,fund_growth,total_score
1,000516,国际医学,5.2,-1.14,0,0,0,2.08,80,30,25,10,22,0,0,10,56.8
2,001269,欧晶科技,26.1,0.77,0,0,0,2.37,80,30,30,5,22,0,0,10,56.8
3,000922,佳电股份,16.26,4.23,0,0,0,4.5,78,30,30,11,22,0,0,10,55.6
4,001201,东瑞股份,15.23,0.73,0,0,0,1.18,77,27,30,5,22,0,0,10,55.0
5,001324,长青科技,21.44,4.48,0,0,0,10.14,83,30,30,15,10,0,0,10,53.8
6,000790,华神科技,4.22,1.44,0,0,0,1.39,72,27,30,0,22,0,0,10,52.0
7,000920,沃顿科技,14.06,-0.07,0,0,0,1.58,72,30,25,10,22,0,0,10,52.0
8,000913,钱江摩托,16.09,0.25,0,0,0,0.6,77,27,30,5,14,0,0,10,51.8
9,000990,诚志股份,10.26,4.91,0,0,0,9.86,73,30,20,15,18,0,0,10,51.0
10,000690,宝新能源,5.0,-1.96,0,0,0,3.92,70,30,15,10,22,0,0,10,50.8
